Administrators are removing all data from data records that can be used to identify an individual. What is this process called?	Anonymization
Administrators are replacing all data in data records that can be used to identify an individual with pseudonyms. What is this process called?	Pseudonymization
Compare the various data destruction methods.	Erasing a file doesn't delete it. Clearing media overwrites it with characters or bits. Purging repeats the clearing process multiple times and removes data so that the media can be reused. Degaussing removes data from tapes and magnetic hard disk drives, but it does not affect optical media or SSDs. Destruction methods include incineration, crushing, shredding, and disintegration.
Define Sensitive But Unclassified (SBU)?	Sensitive But Unclassified (SBU) is used for data that is for internal use or office use only. Often SBU is used to protect information that could violate the privacy rights of individuals.
Describe record retention policies.	Record retention policies ensure that data is kept in a usable state while it is needed and destroyed when it is no longer needed. Many laws and regulations mandate keeping data for a specific amount of time, but in the absence of formal regulations, organizations specify the retention period within a policy. Audit trail data needs to be kept long enough to reconstruct past incidents, but the organization must identify how far back they want to investigate.
How should an organization approach the management of sensitive information?	Sensitive information is any type of classified information, and proper management helps prevent unauthorized disclosure resulting in a loss of confidentiality. Proper management includes marking, handling, storing, and destroying sensitive information. The two areas where organizations often miss the mark are adequately protecting backup media holding sensitive information and sanitizing media or equipment when it is at the end of its lifecycle.
In relation to storage media, what is clearing?	Clearing, or overwriting, is a process of preparing media for reuse and assuring that the cleared data cannot be recovered using traditional recovery tools. When media is cleared, unclassified data is written over all addressable locations on the media.
In relation to storage media, what is declassification?	Declassification involves any process that purges media or a system in preparation for reuse in an unclassified environment. Purging can be used to prepare media for declassification, but often the efforts required to securely declassify media are significantly greater than the cost of new media for a less secure environment.
In relation to storage media, what is erasing?	Erasing media is simply performing a delete operation against a file, a selection of files, or the entire media. In most cases, the deletion or removal process removes only the directory or catalog link to the data. The actual data remains on the drive.
In relation to storage media, what is purging?	Purging is a more intense form of clearing that prepares media for reuse in less secure environments. It provides a level of assurance that the original data is not recoverable using any known methods. A purging process will repeat the clearing process multiple times and may combine it with another method such as degaussing to completely remove the data. Even though purging is intended to remove all data remnants, it isn't always trusted.
In relation to storage media, what is sanitization?	Sanitization is a combination of processes that removes data from a system or from media. It ensures that data cannot be recovered by any means.
Name the security issues surrounding secondary storage devices.	Three main security issues surround secondary storage devices: removable media can be used to steal data, access controls and encryption must be applied to protect data, and data can remain on the media even after file deletion or media formatting.
Name the three types of subjects and their roles in a security environment.	The user accesses objects on a system to perform a work task; the owner is liable for protection of data; the data custodian is assigned to classify and protect data.
Name two common types of DLP.	A network‐based DLP scans all outgoing data looking for specific data. An endpoint‐based DLP can scan files stored on a system and files sent to external devices.
What are scoping and tailoring?	Scoping refers to reviewing baseline security controls and selecting only those controls that apply to the IT system you're trying to protect. Tailoring refers to modifying the list of security controls within a baseline so that they align with the mission of the organization.
What are security control baselines?	Security control baselines provide a listing of controls that an organization can apply as a baseline. Not all baselines apply to all organizations. Organizations apply scoping and tailoring techniques to adapt a baseline to their needs.
What are some methods of storage media destruction?	Destruction is the final stage in the life cycle of media and is the most secure method of sanitizing media. When destroying media it's important to ensure that the media cannot be reused or repaired and that data cannot be extracted from the destroyed media. Methods of destruction include incineration, crushing, shredding, disintegration, and dissolving using caustic or acidic chemicals. Some organizations remove the platters in highly classified disk drives and destroy them separately.
What are the goals of managing backup media?	Preventing disclosure, destruction, and alteration of data
What are the processes that can be applied to used media in order to prepare the media for reuse in various environments?	Erasing, clearing, and overwriting media that will be used in the same classification environments; purging, sanitizing, and degaussing if media is used in different classification environments
What are the responsibilities of the roles of data custodian, data processor, data administrator, and user?	Data controllers decide what data to process and how to process it. Data processors are often the third‐party entities that process data for an organization at the direction of the data processor. Data administrators grant access to data based on guidelines provided by the data owners. A user, or subject, accesses data while performing work tasks. A custodian has day‐to‐day responsibilities for protecting and storing data.
