__________ controls are your first line of defense, while ________ are your last line of defense.	Physical, people
At what stage of a fire is a flame visible?	Stage 3: Flame
Define a fail‐open system.	A fail‐open system will fail in an open state, granting all access.
Define a fail‐secure system.	A fail‐secure system will default to a secure state in the event of a failure, blocking all access.
Define emanation security.	Many electrical devices emanate electrical signals or radiation that can be intercepted by unauthorized individuals. These signals may contain confidential, sensitive, or private data. TEMPEST countermeasures to Van Eck phreaking (i.e., eavesdropping), include Faraday cages, white noise, control zones, and shielding.
How do physical access controls protect assets?	Physical access controls are those you can touch, and they directly protect systems, devices, and facilities by controlling access and controlling the environment. Indirectly, they also protect information and applications by limiting physical access.
How should an organization prepare for managing water leakage and flooding?	Water leakage and flooding should be addressed in your environmental safety policy and procedures. Plumbing leaks are not an everyday occurrence, but when they occur, they often cause significant damage. Water and electricity don't mix. If your computer systems come in contact with water, especially while they are operating, damage is sure to occur. Whenever possible, locate server rooms and critical computer equipment away from any water source or transport pipes.
How should visitors be handled at a secure facility?	If a facility employs restricted areas to control physical security, then a mechanism to handle visitors is required. Often an escort is assigned to visitors, and their access and activities are monitored closely. Failing to track the actions of outsiders when they are granted access to a protected area can result in malicious activity against the most protected assets.
Name three examples of administrative physical security controls.	Examples of administrative physical security controls are facility construction and selection, site management, building design, personnel controls, awareness training, and emergency response and procedures.
Name three examples of technical physical security controls.	Technical physical security controls can be building access controls; intrusion detection; alarms; security cameras; monitoring; heating, ventilation, and air‐conditioning (HVAC) power supplies; and fire detection and suppression.
Name three physical controls for physical security.	Physical controls for physical security are fencing, lighting, locks, construction materials, person‐trap (aka access control vestibules, formerly known as mantraps), guard dogs, and security guards.
Provide two examples of devices that might be used to harden a system.	Computer‐safe fire suppression systems and uninterruptible power supplies
Reviewing the recorded images from CCTV is what type of security control?	Detection
What are common elements of physical perimeter security controls?	Control access to a facility can be accomplished using fences, gates, turnstiles, person‐trap (aka access control vestibules, formerly known as mantraps), bollards, and barricades.
What are features of secure work areas?	There should not be equal access to all locations within a facility. Areas that contain assets of higher value or importance should have restricted access. Valuable and confidential assets should be located in the heart or center of protection provided by a facility.
What are KPIs of physical security?	Key performance indicators (KPIs) of physical security are metrics or measurements of the operation of or the failure of various aspects of physical security.
What are security concepts related to cameras?	Video surveillance, video monitoring, closed‐circuit television (CCTV), and security cameras are all means to deter unwanted activity and create a digital record of the occurrence of events. Cameras can be overt or hidden; can record locally or to a cloud storage service; may offer pan, tilt, and zoom; may operate in visible or infrared light; may be triggered by movement; and may support time‐lapse recording, tracking, facial recognition, gait analysis, object detection, or infrared or color‐filtered recording.
What are some common threats to physical access controls?	No matter what form of physical access control is used, a security guard or other monitoring system must be deployed to prevent abuse, impersonation, masquerading, tailgating, and piggybacking.
What are some examples of internal physical security controls?	Locks, badges, protective distribution systems (PDSs), motion detectors, intrusion alarms, and secondary verification mechanisms
What are some examples of physical access controls?	Guards, fences, motion detectors, locked doors, sealed windows, lights, cable protection, laptop locks, swipe cards, dogs, CCTV, mantraps/person‐traps, and alarms
What are the benefits and disadvantages of guard dogs?	They can be deployed as a perimeter security control and as detection and deterrent agents, they are costly and require high maintenance, and their use involves insurance and liability issues.
