card_no,term,definition,sg_chapter,sg_chapter_title,domain,domain_title,confidence,placed_in,reason
1,"__________ controls are your first line of defense, while ________ are your last line of defense.","Physical, people",10,Physical Security Requirements,D3,Security Architecture and Engineering,MEDIUM,Ch 10,Physical first / people last line of defense
2,"A group of attackers is sponsored by a government. They are highly motivated, skilled, and patient and focused on a single target to gain and retain access over long periods of time. What is this group called?",Advanced persistent threat (APT),2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,HIGH,Ch 2,APT threat actor definition
3,A penetration testing team has full knowledge about a target. What is this team called?,Full‐knowledge team (performs white‐box testing or known environment testing),15,Security Assessment and Testing,D6,Security Assessment and Testing,HIGH,Ch 15,White-box penetration testing team
4,Administrators are removing all data from data records that can be used to identify an individual. What is this process called?,Anonymization,5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Anonymization data protection method
5,Administrators are replacing all data in data records that can be used to identify an individual with pseudonyms. What is this process called?,Pseudonymization,5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Pseudonymization data protection method
6,"After a network is upgraded, what must be done with a behavior‐based IDS?",Upgrade the baseline.,17,Preventing and Responding to Incidents,D7,Security Operations,MEDIUM,Ch 17,Behavior-based IDS baseline update operationally
7,"An attack has a negative effect on the confidentiality, integrity, or availability of an organization's assets. What is this called?",Computer security incident,17,Preventing and Responding to Incidents,D7,Security Operations,HIGH,Ch 17,Computer security incident definition
8,An attacker has launched an attack using a vulnerability known only to him. What is this called?,Zero‐day exploit,2,Personnel Security and Risk Management Concepts,D1,Security and Risk Management,MEDIUM,Ch 2,Zero-day exploit unknown vulnerability
9,At what layer does SSL and TLS function?,Transport layer (OSI layer 4),11,Secure Network Architecture and Components,D4,Communication and Network Security,HIGH,Ch 11,SSL/TLS transport layer OSI
10,At what stage of a fire is a flame visible?,Stage 3: Flame,10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,Fire stages physical fire detection
11,Compare the various data destruction methods.,"Erasing a file doesn't delete it. Clearing media overwrites it with characters or bits. Purging repeats the clearing process multiple times and removes data so that the media can be reused. Degaussing removes data from tapes and magnetic hard disk drives, but it does not affect optical media or SSDs. Destruction methods include incineration, crushing, shredding, and disintegration.",5,Protecting Security of Assets,D2,Asset Security,HIGH,Ch 5,Data destruction methods clearing/purging/degaussing
12,Define a fail‐open system.,"A fail‐open system will fail in an open state, granting all access.",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,Fail-open door system physical
13,Define a fail‐secure system.,"A fail‐secure system will default to a secure state in the event of a failure, blocking all access.",10,Physical Security Requirements,D3,Security Architecture and Engineering,HIGH,Ch 10,Fail-secure door system physical
14,Define anycast and geocast.,"Anycast technology supports communications where a single sender transmits data to the nearest or best‐suited node among a group of potential receivers. The goal is to deliver data to the “nearest” or “best” node in terms of network topology or routing metrics. Geocast technology supports communications where data is sent to all devices within a specific geographical area. It is a one‐to‐all communication paradigm limited to a particular geographic region, and devices outside that area do not receive the broadcast.",11,Secure Network Architecture and Components,D4,Communication and Network Security,MEDIUM,Ch 11,Anycast/geocast network communication concepts
15,Define blockchain.,"A collection or ledger of records, transactions, operations, or other events that are verified using hashing, timestamps, and transaction data",7,PKI and Cryptographic Applications,D3,Security Architecture and Engineering,HIGH,Ch 7,Blockchain applied cryptography
