lineno	term	v1_ch	v2_ch	v1_conf	v2_conf	v2_reason
8	An attacker has launched an attack using a vulnerability known only to him. What is this called?	21	2	HIGH	MEDIUM	Zero-day exploit unknown vulnerability
9	At what layer does SSL and TLS function?	7	11	MEDIUM	HIGH	SSL/TLS transport layer OSI
14	Define anycast and geocast.	12	11	HIGH	MEDIUM	Anycast/geocast network communication concepts
52	Define “trust but verify.”	13	14	LOW	MEDIUM	Trust but verify zero-trust contrast
53	Describe broadcast, multicast, and unicast communications.	12	11	HIGH	MEDIUM	Broadcast multicast unicast communications
56	Describe open and closed source.	9	20	MEDIUM	MEDIUM	Open and closed source code
57	Describe open and closed systems.	9	8	HIGH	MEDIUM	Open and closed systems design
69	Explain why the separation of duties and responsibilities is a common security practice.	2	16	MEDIUM	MEDIUM	Separation of duties operations practice
71	How are audit trails used?	17	19	MEDIUM	MEDIUM	Audit trails reconstruct event investigation
74	How are PVC, SVC, DTE, and DCE used in a WAN network link?	11	12	HIGH	HIGH	PVC SVC DTE DCE WAN link
75	How are security and illegal activities related?	4	19	MEDIUM	MEDIUM	Security and illegal activities legal
77	How can you protect data against fraud and theft?	14	17	LOW	MEDIUM	Access controls reduce fraud theft
78	How do antivirus software packages detect known viruses?	17	21	MEDIUM	HIGH	Antivirus signature-based detection
79	How do logical access controls protect assets?	14	13	MEDIUM	MEDIUM	Logical access controls authentication authorization
81	How do salt and pepper thwart password attacks?	7	14	HIGH	HIGH	Salt pepper thwart rainbow table attacks
82	How do salts improve the security of password hashing?	7	14	HIGH	HIGH	Salts improve password hashing rainbow tables
87	How is abstraction used?	1	8	MEDIUM	HIGH	Abstraction grouping security controls
105	In legal and ethical contexts to describe different standards of behavior or decision‐making, especially related to risk management, what are prudent actions?	1	2	MEDIUM	MEDIUM	Prudent actions risk management due care
106	In legal and ethical contexts to describe different standards of behavior or decision‐making, especially related to risk management, what are reasonable actions?	1	2	MEDIUM	MEDIUM	Reasonable actions risk management standard
117	In the context of security controls, what is tuning?	17	15	MEDIUM	MEDIUM	Tuning security controls reduce false positives
147	Name the security issues surrounding secondary storage devices.	9	5	HIGH	MEDIUM	Secondary storage security; media handling
163	Reviewing the recorded images from CCTV is what type of security control?	2	10	MEDIUM	MEDIUM	CCTV review detective control type
170	True or false? Modern cryptosystems rely on the secrecy of the encryption algorithm.	1	6	MEDIUM	HIGH	Kerckhoffs principle algorithm secrecy
171	True or false? Organizations participating in a mutual assistance agreement are typically located in the same geographic region.	18	3	HIGH	MEDIUM	Mutual assistance agreement geography BCP
179	What acts as a placeholder variable in mathematical functions and is used in random number generation?	9	7	MEDIUM	MEDIUM	Nonce in random number generation
183	What are audit trails?	19	17	MEDIUM	MEDIUM	Audit trails logging detective control
205	What are examples of security management tasks which are used to provide oversight to the information security program?	16	15	HIGH	HIGH	Security management oversight log reviews
209	What are expert systems, machine learning, and neural networks, and how do they function?	9	20	MEDIUM	HIGH	Expert systems/ML/neural networks
215	What are incremental attacks?	21	19	MEDIUM	MEDIUM	Incremental attacks data diddling/salami crime
221	What are MSSPs?	17	16	MEDIUM	HIGH	MSSPs managed security services cloud
