1	10	MEDIUM	Physical first / people last line of defense
2	2	HIGH	APT threat actor definition
3	15	HIGH	White-box penetration testing team
4	5	HIGH	Anonymization data protection method
5	5	HIGH	Pseudonymization data protection method
6	17	MEDIUM	Behavior-based IDS baseline update operationally
7	17	HIGH	Computer security incident definition
8	2	MEDIUM	Zero-day exploit unknown vulnerability
9	11	HIGH	SSL/TLS transport layer OSI
10	10	HIGH	Fire stages physical fire detection
11	5	HIGH	Data destruction methods clearing/purging/degaussing
12	10	HIGH	Fail-open door system physical
13	10	HIGH	Fail-secure door system physical
14	11	MEDIUM	Anycast/geocast network communication concepts
15	7	HIGH	Blockchain applied cryptography
16	9	MEDIUM	Cloud solution deployment architecture
17	8	HIGH	Confinement bounds isolation design technique
18	9	HIGH	COPE mobile device strategy
19	9	HIGH	CYOD mobile device strategy
20	10	HIGH	Emanation security TEMPEST physical
21	9	MEDIUM	Hosted solution deployment concept
22	9	MEDIUM	On-premise solution deployment concept
23	13	MEDIUM	PAP CHAP EAP authentication protocols
24	1	HIGH	Proactive threat modeling
25	1	HIGH	Reactive threat modeling
26	15	HIGH	Security control assessment SCA
27	5	HIGH	SBU classification level
28	2	HIGH	Social engineering definition principles
29	1	HIGH	Confidentiality aspect concealment CIA
30	1	HIGH	Confidentiality aspect criticality CIA
31	1	HIGH	Confidentiality aspect discretion CIA
32	1	HIGH	Confidentiality aspect isolation CIA
33	1	HIGH	Confidentiality aspect privacy CIA
34	1	HIGH	Confidentiality aspect seclusion CIA
35	1	HIGH	Confidentiality aspect secrecy CIA
36	1	HIGH	Confidentiality aspect sensitivity CIA
37	8	HIGH	Bell-LaPadula security model
38	8	HIGH	Biba security model
39	8	HIGH	Clark-Wilson security model
40	8	HIGH	Common Criteria evaluation
41	8	MEDIUM	Access control matrix security model
42	2	HIGH	Risk management concept definition
43	8	HIGH	Graham-Denning security model
44	8	HIGH	Information flow security model
45	8	HIGH	Noninterference security model
46	8	HIGH	State machine security model
47	8	HIGH	Take-grant security model
48	4	HIGH	Software license agreement types
49	8	MEDIUM	Trust and assurance security capabilities
50	11	HIGH	WPA2 wireless network standard
51	11	HIGH	WPA3 wireless network standard
52	14	MEDIUM	Trust but verify zero-trust contrast
53	11	MEDIUM	Broadcast multicast unicast communications
54	15	HIGH	Capture-the-flag exercise red team
55	9	HIGH	Large-scale parallel data systems HPC
56	20	MEDIUM	Open and closed source code
57	8	MEDIUM	Open and closed systems design
58	5	HIGH	Record retention policy handling
59	21	MEDIUM	JavaScript security mobile code concerns
60	9	HIGH	Corporate-owned mobile device strategy
61	9	HIGH	Storage device characteristics hardware
62	9	HIGH	Memory types ROM RAM hardware
63	20	HIGH	Software development models waterfall/agile/spiral
64	20	HIGH	Software maturity models purpose
65	18	MEDIUM	Test communications DR testing stakeholders
66	7	HIGH	Cryptographic attacks AitM birthday replay
67	7	HIGH	Cryptographic attacks ciphertext brute-force
68	9	HIGH	Multitasking multicore multiprocessing CPU
69	16	MEDIUM	Separation of duties operations practice
70	20	MEDIUM	Cohesive objects OOP concept
71	19	MEDIUM	Audit trails reconstruct event investigation
72	7	HIGH	Digital signatures generation verification
73	14	MEDIUM	Domains decentralized access control
74	12	HIGH	PVC SVC DTE DCE WAN link
75	19	MEDIUM	Security and illegal activities legal
76	7	MEDIUM	Cryptosystems authentication challenge-response
77	17	MEDIUM	Access controls reduce fraud theft
78	21	HIGH	Antivirus signature-based detection
79	13	MEDIUM	Logical access controls authentication authorization
80	10	MEDIUM	Physical access controls protect assets
81	14	HIGH	Salt pepper thwart rainbow table attacks
82	14	HIGH	Salts improve password hashing rainbow tables
83	21	HIGH	Protect against malicious code incident
84	13	HIGH	Identification process AAA
85	15	HIGH	Penetration testing improves security
86	12	HIGH	Teardrop attack overlapping fragments
87	8	HIGH	Abstraction grouping security controls
88	13	HIGH	Accountability maintained through auditing
89	13	HIGH	Kerberos ticket-granting ticket generation
90	4	HIGH	Trade secret protection lasts indefinitely
91	11	HIGH	UDP header 8 bytes
92	20	HIGH	Database table one primary key
93	6	HIGH	DES 16 rounds symmetric
94	11	HIGH	TCP 65536 sockets ports
95	18	HIGH	Mobile site recovery transportable
96	5	HIGH	Sensitive information management handling
97	2	HIGH	Employee transfers personnel security
98	2	MEDIUM	Procurement vendor governance security
99	10	HIGH	Water leakage flooding physical environment
100	10	HIGH	Visitor handling secure facility physical
101	7	HIGH	Sign encrypt security services nonrepudiation
102	19	HIGH	Chain of evidence court authentication
103	17	MEDIUM	Incident reporting guidelines security policy
104	7	HIGH	SHA-3 Keccak hash standard
105	2	MEDIUM	Prudent actions risk management due care
106	2	MEDIUM	Reasonable actions risk management standard
107	15	MEDIUM	Sampling data extraction audit
108	2	HIGH	Hazard risk source definition
109	5	HIGH	Clearing storage media overwriting
110	5	HIGH	Declassification purging media reuse
111	5	HIGH	Erasing media delete operation
112	5	HIGH	Purging storage media intense clearing
113	5	HIGH	Sanitization removes data from media
114	8	HIGH	Biba Simple Integrity Axiom no read-down
115	8	HIGH	Clark-Wilson integrity verification procedure IVP
116	2	HIGH	Scope risk management process
117	15	MEDIUM	Tuning security controls reduce false positives
118	9	MEDIUM	Storage device access random sequential
119	20	HIGH	Software CMM Initial phase
120	8	HIGH	Protection ring 3 user applications
121	17	HIGH	Root cause analysis in incident response remediation
122	2	MEDIUM	Influence campaigns/misleading content under social engineering
123	19	HIGH	ISC2 Code of Ethics adherence
124	18	MEDIUM	Disaster recovery vs restoration tasks
125	13	HIGH	Authentication factors definition
126	11	MEDIUM	OSI Network layer security features
127	20	HIGH	Coupling/cohesion OOP software design concept
128	9	MEDIUM	Secondary memory classification, architecture
129	17	HIGH	SIEM/SEM/SIM monitoring systems
130	9	MEDIUM	Nonvolatile memory architecture concept
131	11	HIGH	OSPF link state routing protocol
132	13	HIGH	Biometric factors enumeration
133	11	HIGH	Networking device types as components
134	2	MEDIUM	Threats evaluated in risk analysis
135	11	HIGH	Wireless technologies enumeration
136	1	HIGH	Security management concepts and principles
137	9	MEDIUM	Mobile device terminology
138	11	HIGH	Infrastructure mode wireless networking examples
139	11	HIGH	Distance vector routing protocols
140	2	HIGH	Social engineering attack types
141	2	MEDIUM	Risk frameworks RMF/COBIT/etc
142	11	HIGH	Wireless frequency access technologies
143	3	MEDIUM	Natural disasters BIA threat list
144	9	MEDIUM	Memory component security issues
145	11	HIGH	Common network topologies
146	13	MEDIUM	Access control principles identification/authentication
147	5	MEDIUM	Secondary storage security; media handling
148	11	HIGH	OSI seven layers naming
149	1	HIGH	Threat identification approaches threat modeling
150	5	HIGH	Subject roles owner/custodian data roles
151	4	HIGH	Computer crime laws CFAA/ECPA
152	10	HIGH	Administrative physical security controls
153	10	HIGH	Technical physical security controls
154	1	HIGH	Ranking threats DREAD threat modeling
155	10	HIGH	Physical controls fencing/locks/mantraps
156	5	HIGH	DLP types network/endpoint
