At what layer does SSL and TLS function?	Transport layer (OSI layer 4)
Define anycast and geocast.	Anycast technology supports communications where a single sender transmits data to the nearest or best‐suited node among a group of potential receivers. The goal is to deliver data to the “nearest” or “best” node in terms of network topology or routing metrics. Geocast technology supports communications where data is sent to all devices within a specific geographical area. It is a one‐to‐all communication paradigm limited to a particular geographic region, and devices outside that area do not receive the broadcast.
Define WPA2.	IEEE 802.11i defined Wi‐Fi Protected Access 2 (WPA2). WPA2 supports two authentication options: preshared key (PSK) or personal (PER) and IEEE 802.1X or enterprise (ENT). WPA2 uses AES‐CCMP.
Define WPA3.	Wi‐Fi Protected Access 3 (WPA3) uses 192‐bit AES CCMP encryption, whereas WPA3‐PER remains at 128‐bit AES CCMP. WPA3‐PER uses Simultaneous Authentication of Equals (SAE).
Describe broadcast, multicast, and unicast communications.	A broadcast supports communications to all possible recipients. A multicast supports communications to multiple specific recipients. A unicast supports only a single communication to one recipient.
How long is a UDP header?	8 bytes
How many sockets does TCP have?	65, 536 (2^16) sockets (aka ports), numbered from 0 to 65,535
List the security features offered by the Network layer of the OSI model.	The Network layer (layer 3) offers confidentiality, authentication, and integrity.
Name an example of a link state routing protocol.	OSPF
Name at least five networking device types other than firewalls.	Routers, switches, hubs, repeaters, bridges, gateways, proxies
Name at least four technologies commonly called wireless.	802.11 networking, Bluetooth (802.15.1/Bluetooth SIG), mobile phones, and cordless phones
Name four examples of infrastructure mode wireless networking.	Stand‐alone, wired extension, enterprise extended, and bridge
Name one or more examples of vector routing protocol.	RIP, IGRP, BGP
Name six wireless frequency access technologies.	FHSS, DSSS, OFDM, MIMO, TDMA, and CDMA
Name the common network topologies.	Ring, bus, star, and mesh
Name the seven layers of the OSI model by their layer name and layer number.	Application (7), Presentation (6), Session (5), Transport (4), Network (3), Data Link (2), and Physical (1)
Network devices at what layer and above separate broadcast domains?	Layer 3
Network devices at what layer and above separate collision domains?	Layer 2
On an 802.11 wireless network, what contains the regular announcement of the network name by default?	The beacon frame contains the SSID (i.e., network name) by default. This can be stopped using the Disable SSID Broadcast feature of a wireless access point.
What are common network devices?	Repeaters, hubs, modems, bridges, switches, routers, LAN extenders, jumpboxes, sensors, collectors, and aggregators
What are converged protocols?	Converged protocols are the merging of specialty or proprietary protocols with standard protocols. The primary benefit of converged protocols is the ability to use existing TCP/IP supporting network infrastructure to host special or proprietary services without the need for unique deployments of alternate networking hardware. Common examples of converged protocols include FCoE, MPLS, iSCSI, VPN, SDN, cloud, virtualization, SOA, microservices, infrastructure as code (IaC), and serverless architecture.
What are elements that make up quality of service (QoS)?	Attenuation, interference, noise, jitter, bandwidth, and propagation delay or latency
What are examples of Bluetooth attacks?	Bluesniffing, bluesmacking, bluejacking, BLUFFS (Bluetooth Forward and Future Secrecy) is a series of exploits targeting Bluetooth, aiming to break Bluetooth sessions' forward and future secrecy, compromising the confidentiality of past and future communications between devices) bluesnarfing, and bluebugging
What are examples of Wi‐Fi attacks?	War driving, wireless scanners/crackers, rogue access points, evil twin, disassociation, jamming, IV abuse, and replay
What are five examples of DNS poisoning?	HOSTS poisoning, authorized DNS server attack, caching DNS server attack, changing a DNS server address, and DNS query spoofing
What are some examples of the various types of firewalls?	Static packet filtering, application‐level, circuit‐level, stateful inspection, NGFW, ISFW, virtual firewall, filters/rules/ACLs/tuples, bastion host, ingress, egress, RTBH, stateless vs. stateful, WAF, SWG, TCP wrapper, DPI, and content and URL filtering
What are some of the means for a DNS poisoning or attack to occur?	Rogue DNS server, planting false data in a zone file, altering the HOSTS file, and corrupting IP configuration to change DNS lookup server address
What are the basic labels, groupings, and examples of routing protocols?	Interior routing protocols are distance vector (Routing Information Protocol ([RIP] and Interior Gateway Routing Protocol [IGRP]) and link state (Open Shortest Path First [OSPF] and Intermediate System to Intermediate System [IS‐IS]); an exterior routing protocol is path vector (Border Gateway Protocol [BGP]).
What are the benefits and drawbacks of multilayer protocols?	Benefits of multilayer protocols include the fact that they can be used at higher OSI levels and that they offer encryption, flexibility, and resiliency. Drawbacks include covert channels, filter bypass, and violation of network segment boundaries.
What are the characteristics of PPP?	The Point‐to‐Point Protocol (PPP) is an encapsulation protocol designed to support the transmission of IP traffic over dial‐up or point‐to‐point links. PPP supports CHAP and PAP for authentication.
What are the four TCP header flags that are used in virtual circuit setup and teardown?	SYN, ACK, FIN, and RES (or RST)
What are the most common causes of network failure?	Cable failures and misconfigurations
What are the network container names at each OSI model layer?	The network containers are OSI layers 7–5 protocol data unit (PDU), layer 4 segment (TCP) or a datagram (UDP), layer 3 packet, layer 2 frame, and layer 1 bits.
What are the six flags from the TCP header that we still commonly use and what is their order in the header?	XXUAPRSF. The X represents two flags no longer used, followed by Urgent, Acknowledgment, Push, Reset, Synchronization, and Finish. You can memorize this flag order using the phrase “Unskilled Attackers Pester Real Security Folk.”
What are the standards‐based form(s) of encryption of 802.11 wireless networks and the cryptography protocols related to WPA2?	WPA2 (AES/CCMP)
What are the three phases of the three‐way handshake used by TCP/IP?	SYN, SYN/ACK, ACK
What are the two DHCPv6 modes of operation?	In stateful mode, DHCPv6 assigns specific IPv6 addresses to devices and manages the allocation of network configuration parameters. In stateless mode, DHCPv6 provides network configuration parameters without assigning specific IPv6 addresses. Devices may use Stateless Address Autoconfiguration (SLAAC) to generate their own addresses.
What are the various types and purposes of network segmentation?	Network segmentation can be used to manage traffic, improve performance, and enforce security. Examples of network segments or subnetworks include intranet, extranet, and screened subnet.
What are three methods used to manage and control access to the communication medium in LANs?	Arbitration, deconfliction, and contention‐based
What are two forms of ARP poisoning?	ARP cache poisoning is caused by an attack responding to ARP broadcast queries in order to send back falsified replies. A second form of ARP cache poisoning is to create static ARP entries.
What are types of wireless antenna?	Omnidirectional pole antennas, as well as many directional antennas, such as Yagi, cantenna, panel, and parabolic
What components make up a FQDN?	A fully qualified domain names (FQDN) consists of three main parts: top‐level domain (TLD), like the com in www.google.com; registered domain name, like the google in www.google.com; and subdomain(s) or hostname, like the www in www.google.com.
What is a broadcast storm?	A flood of unwanted Ethernet broadcast network traffic
What is a captive portal?	A captive portal is an authentication technique that redirects a newly connected wireless web client to a portal access control page. The portal page may require the user to input payment information, provide logon credentials, or input an access code.
What is a CDN?	A content‐distribution network (CDN) or content delivery network is a collection of resource services deployed in numerous data centers across the Internet in order to provide low‐latency, high‐performance, high‐availability of the hosted content.
What is a local cache?	A local cache is anything that is temporarily stored on the client for future reuse. There are many local caches on a typical client, including ARP cache, DNS cache, and Internet files cache.
What is a MAC address?	A Media Access Control (MAC) address is a 6‐byte (48‐bit) binary address written in hexadecimal notation, aka hardware address, physical address, the NIC address, and the Ethernet address. The first 3 bytes (24 bits) of the address is the organizationally unique identifier (OUI), which denotes the vendor or manufacturer.
What is a protocol analyzer?	A tool used to examine the contents of network traffic
What is a site survey?	A site survey is a formal assessment of wireless signal strength, quality, and interference using an RF signal detector. A site survey is performed by placing a wireless base station in a desired location and then collecting signal measurements from the area. The signal measurements are overlaid onto a blueprint of the building to determine whether sufficient signal is present where needed, while minimizing signals outside the desired location.
What is an ARP attack?	The modification of ARP mappings. When ARP mappings are falsified, packets are not sent to their proper destination. ARP mappings can be attacked through spoofing. Spoofing provides false MAC addresses for requested IP addressed systems to redirect traffic to alternate destinations.
What is an SSID and what types are there?	A service set identifier (SSID) is a network name for a single WAP. An ESSID (extended service set identifier) is used when there are multiple WAPs supporting a network. An independent service set identifier (ISSID) is used by Wi‐Fi Direct or in ad hoc mode. The BSSID (basic service set identifier) is the MAC address of the base station (or ad hoc/Wi‐Fi Direct initiating device).
What is another name for the area of Bluetooth connectivity?	Personal area network (PAN)
What is ARP?	Address Resolution Protocol (ARP) is essential to the interoperability of logical and physical addressing schemes. ARP is used to resolve IP addresses into MAC addresses.
What is broadband over power lines (BPL)?	A technology that enables high‐speed data transmission over existing electrical power lines. In a BPL system, data signals are transmitted along the same infrastructure that is used to deliver electric power. This technology leverages the extensive network of power lines to provide broadband Internet access to homes, businesses, and other locations.
What is Compute Express Link (CXL)?	An advanced high‐speed interconnect technology developed to address the increasing demands of data‐intensive workloads in modern computing systems. It is designed to enhance the performance, efficiency, and scalability of data‐centric applications in various domains such as AI, ML, and HPC. As a converged protocol, CXL supports the communication and collaboration of various system components, such as CPUs and GPUs over a single high‐speed interconnect.
What is DNS pharming?	DNS pharming is the malicious redirection of a valid website's URL or IP address to a fake website that hosts a false version of the original valid site. This is often part of a phishing attack where the attacker is attempting to trick victims into giving up their logon credentials.
