A group of attackers is sponsored by a government. They are highly motivated, skilled, and patient and focused on a single target to gain and retain access over long periods of time. What is this group called?	Advanced persistent threat (APT)
An attacker has launched an attack using a vulnerability known only to him. What is this called?	Zero‐day exploit
Define social engineering and its common principles.	Social engineering is a form of attack that exploits human nature and human behavior. The common social engineering principles are authority, intimidation, consensus, scarcity, familiarity, trust, and urgency.
Define the concept of risk management?	Risk management is the process of identifying factors that could damage or disclose data, evaluating those factors in light of data value and countermeasure cost, and implementing cost‐effective solutions for mitigating or reducing risk is known as risk management. By performing risk management, you lay the foundation for reducing risk overall.
How should an organization handle employee transfers?	Personnel transfers may be treated as a fire/rehire rather than a personnel move. This depends on the organization's policies and the means they use to manage this change. Some of the elements that go into choosing the procedure include whether the same user account will be retained, if their clearance will be adjusted, if their new work responsibilities are similar to the previous position, and if a “clean slate” account is required for auditing purposes in the new job position.
How should an organization incorporate security into the procurement and vendor governance process?	The expanded use of cloud services by many organizations requires added attention to conducting reviews of information security controls during the vendor selection process and as part of ongoing vendor governance.
In legal and ethical contexts to describe different standards of behavior or decision‐making, especially related to risk management, what are prudent actions?	Prudent actions refer to actions or decisions that are marked by a high degree of caution, care, and foresight. They are characterized by careful consideration of potential risks, a focus on preventing harm, and a commitment to acting in a manner that is consistent with established best practices or industry standards.
In legal and ethical contexts to describe different standards of behavior or decision‐making, especially related to risk management, what are reasonable actions?	Reasonable actions refer to actions or decisions that are in line with what a person of ordinary prudence and judgment would do in similar circumstances. These actions are based on the idea of acting in a manner that is sensible, rational, and consistent with societal norms and expectations. Reasonable actions are a standard often used in legal and ethical contexts to assess whether an individual's behavior or decisions meet a minimum threshold of acceptability.
In relation to risk, what is a hazard?	Refers to a potential source or situation that has the capability to cause harm, loss, damage, injury, or adverse consequences to an organization, its assets, individuals, or the environment
In the context of a risk management process, what is scope?	Scope refers to the extent or boundaries of a risk management process, project, or assessment. It defines what is included and what is excluded in the risk management efforts. Determining the scope is a critical step in effectively managing and addressing risks, as it helps organizations focus their resources and efforts on the most relevant areas.
Influence campaigns are linked to the distribution of false or misleading content. What types of misleading content are there?	Disinformation, misinformation, propaganda, false information, fake news, and doxing
Name at least five possible threats that should be evaluated when performing a risk analysis.	Viruses; buffer overflows; coding errors; user errors; intruders (physical and logical); natural disasters; equipment failure; misuse of data, resources, or services; loss of data; physical theft; denial of service
Name several examples of types of social engineering attacks.	Social engineering attacks may be used to elicit information or gain access through the use of pretexting and/or prepending. Social engineering attacks include phishing, spear phishing, business email compromise (BEC), whaling, smishing, vishing, spam, shoulder surfing, invoice scams, hoaxes, impersonation, masquerading, tailgating, piggybacking, dumpster diving, identity fraud, typosquatting, and influence campaigns.
Name several risk frameworks.	Risk Management Framework (RMF) defined by NIST, NIST Cybersecurity Framework (CSF), Control Objectives for Information and Related Technology (COBIT), Sherwood Applied Business Security Architecture (SABSA), Federal Risk and Authorization Management Program (FedRAMP), Information Technology Infrastructure Library (ITIL), and Payment Card Industry (PCI).
What are elements of effective user training against social‐engineering attacks?	Always err on the side of caution whenever communications are odd or unexpected. Always request proof of identity. Identify what information can be conveyed via voice communications by classifying the information. Never change passwords over the phone.
What are key concerns related to threat evaluation?	Threats can originate from numerous sources, including IT, humans, and nature. Threat assessment should be performed as a team effort to provide the widest range of perspectives. By fully evaluating risks from all angles, you reduce your system's vulnerability.
What are risk perspectives?	Risk perspectives (aka risk management perspectives or approaches) are different lenses through which organizations and individuals can view and address risks. Each perspective emphasizes certain aspects of risk and can guide decision‐making, risk assessment, and mitigation strategies. There are innumerable options of risk perspective, including asset, outcome, vulnerability, threat, financial, strategic, operational, compliance, legal, reputational, supply chain, third‐party, and workforce.
What are some examples of detection access controls?	Security guards, supervising users, incident investigations, and intrusion detection systems
What are some safeguards against sabotage?	Intensive auditing, monitoring for abnormal or unauthorized activity, keeping lines of communication open between employees and managers, and compensating and recognizing employees for excellence
What are the characteristics of qualitative risk analysis?	Qualitative risk analysis assigns subjective and intangible values to the loss of an asset. Qualitative risk analysis is based more on scenarios than calculations. Exact dollar figures are not assigned to possible losses; instead, threats are ranked on a scale to evaluate their risks, costs, and effects. Such an analysis assists those responsible for creating proper risk management policies.
What are the characteristics of quantitative risk analysis?	Quantitative risk analysis assigns real dollar figures to the loss of an asset. Quantitative risk analysis focuses on hard values and percentages. A complete quantitative analysis is not possible because of intangible aspects of risk. The process involves valuing assets and identifying threats and then determining a threat's potential frequency and the resulting damage, which leads to the risk response tasks of the cost/benefit analysis of safeguards.
What are the classifications of security control types?	Preventive, deterrent, detection, corrective, recovery, compensation, directive
What are the common elements of employee oversight?	Throughout the employment lifetime of personnel, managers should regularly review or audit the job descriptions, work tasks, privileges, and responsibilities for every staff member.
What are the elements of a termination procedure policy?	Have at least one witness; escort terminated employee off the premises immediately; collect identification, access, or security devices; perform exit interview; deactivate network account
What are the important factors in personnel management?	Hiring practices, ongoing job performance reviews, and termination procedures
What are the key elements of risk analysis?	Risk analysis is the process by which upper management is provided with details to make decisions about which risks are to be mitigated, which should be transferred, and which should be accepted. To fully evaluate risks and subsequently take the proper precautions, you must analyze the following: assets, asset valuation, threats, vulnerability, exposure, risk, realized risk, safeguards, countermeasures, attacks, and breaches.
What are the possible responses to a risk?	Acceptance, assignment, deterrence, avoidance, rejection, and mitigation
What are the possible valid responses by upper/senior management to risk?	Reducing risk or risk mitigation; assigning risk or transferring; risk deterrence; risk avoidance; accepting risk
What are the security implications of hiring new employees?	To properly plan for security, you must have standards in place for job descriptions, job classification, work tasks, job responsibilities, prevention of collusion, candidate screening, background checks, security clearances, employment agreements, and nondisclosure agreements. By deploying such mechanisms, you ensure that new hires are aware of the required security standards, thus protecting your organization's assets.
What are the three learning levels of security?	Awareness, training, and education
What are the three main types of physical security controls?	Administrative physical security controls, technical physical security controls, physical controls for physical security
What are the types and purposes of NDAs?	A unilateral NDA (aka one‐way NDA) is used when one party needs to share sensitive data with another party while retaining control and protection over that data. A bilateral NDA (aka mutual NDA or two‐way NDA) is a legally binding contract between two parties where both parties agree to protect each other's confidential information. A multilateral NDA is a legal contract involving three or more parties, each of whom agrees to protect and keep confidential the sensitive information shared by the other parties.
What are user behavior analytics (UBA) and user and entity behavior analytics (UEBA)?	User behavior analytics (UBA) and user and entity behavior analytics (UEBA) are the concepts of analyzing the behavior of users, subjects, visitors, customers, etc. for some specific goal or purpose. Information collected from UBA/UEBA monitoring can be used to improve personnel security policies, procedures, training, and related security oversight programs
What countermeasures are moderately effective against errors and omissions?	Input validators and user training
What feature of insurance can improve your ability to replace lost or damaged assets?	Actual Cost Value (ACV)
What is a risk framework?	A risk framework is a guideline or recipe for how risk is to be assessed, resolved, and monitored.
What is a security champion?	Often a security champion is a member of a group who decides (or is assigned) to take charge of leading the adoption and integration of security concepts into the group's work activities. Security champions are often nonsecurity employees who take up the mantle to encourage others to support and adopt more security practices and behaviors.
What is an APT?	Recent years marked the rise of sophisticated attackers known as advanced persistent threats (APTs). These attackers are well funded and have advanced technical skills and resources. They act on behalf of a nation‐state, organized crime, terrorist group, or other sponsor and wage highly effective attacks against a very focused target in order to maintain persistent unauthorized access or effect.
What is an exposure factor (EF)?	An EF is an element of quantitative risk analysis that represents the percentage of loss that an organization would experience if a specific asset were violated by a realized risk. By calculating exposure factors, you are able to implement a sound risk management policy.
What is an SLA?	Organizations use service‐level agreements (SLAs) with outside entities such as vendors. They stipulate performance expectations such as maximum downtimes and often include penalties if the vendor doesn't meet expectations.
What is annualized loss expectancy, and how is it calculated?	The possible yearly cost of all instances of a specific realized threat against a specific asset. ALE = single loss expectancy (SLE) × annualized rate of occurrence (ARO).
What is annualized rate of occurrence (ARO)?	ARO is an element of quantitative risk analysis that represents the expected frequency with which a specific threat or risk will occur (in other words, become realized) within a single year. Understanding AROs further enables you to calculate the risk and take proper precautions.
What is Authorization to Operate (ATO)?	Authorization to Operate (ATO) (from the RMF) is a formal approval to operate IT/IS based on an acceptable risk level based on the implementation of an agreed‐on set of security and privacy controls.
What is cross‐training?	Cross‐training is often discussed as an alternative to job rotation. In both cases, workers learn the responsibilities and tasks of multiple job positions. However, in cross‐training the workers are just prepared to perform the other job positions; they are not rotated through them on a regular basis. Cross‐training enables existing personnel to fill the work gap when the proper employee is unavailable as a type of emergency response procedure.
