After a network is upgraded, what must be done with a behavior‐based IDS?	Upgrade the baseline.
An attack has a negative effect on the confidentiality, integrity, or availability of an organization's assets. What is this called?	Computer security incident
How can you protect data against fraud and theft?	The use of access controls (auditing and monitoring, for example) reduce fraud and theft.
If an incident has occurred that has violated no laws or regulations, how do you determine whether to report it?	The incident reporting guidelines should be in your security policy.
In which stage of incident response should a root cause analysis be conducted?	Remediation and Review
Many organizations use a centralized application to automate monitoring of systems on a network. Name three terms that refer to these types of systems.	Security information and event management (SIEM), security event management (SEM), and security information management (SIM)
Once an intrusion has occurred, what is the most secure process for restoring the environment?	Format and reinstall from scratch.
What are audit trails?	Audit trails are the records created by recording information about events and occurrences into one or more databases or log files. They are used to reconstruct an event, extract information about an incident, and prove or disprove culpability. Using audit trails is a passive form of detection security control, and audit trails are essential evidence in criminals' prosecution.
What are examples of types of log files?	Log data is recorded in databases and different types of log files. Common log files include security logs, system logs, application logs, firewall logs, proxy logs, and change management logs. Log files should be protected by centrally storing them and using permissions to restrict access, and archived logs should be set to read‐only to prevent modifications.
What are some countermeasures to common attack methods?	Patching software, reconfiguring security, employing firewalls, updating filters, using IDSs/IPSs, improving security policy, using traffic filters, improving physical access control, using system monitoring/auditing
What are the differences between HIDSs and NIDSs?	Host‐based IDSs (HIDSs) can monitor activity on a single system only. A drawback is that attackers can discover and deactivate them. A network‐based IDS (NIDS) can monitor activity on a network, and an NIDS isn't as visible to attackers.
What are the differences between knowledge‐based and behavior‐based detection methods used by IDS?	Knowledge‐based uses a signature database and tries to match monitored events to that database. Behavior‐based learns about the normal activities on your system through watching and learning.
What are the functions of an intrusion detection system (IDS)?	An IDS automates the inspection of audit logs and real‐time system events, detects intrusion attempts, and watches for violations of confidentiality, integrity, and availability.
What are the pros and cons of a host‐based IDS?	It can pinpoint resources compromised by a malicious user. It can't detect network‐only attacks or attacks on other systems, has difficulty detecting DoS attacks, and can be detected by intruders.
What are the pros and cons of a network‐based IDS?	It can monitor a large network and can be hardened against attack. It requires a central view of traffic and can't pinpoint compromised resources. High levels of traffic flow require sufficiently capable IDS systems in order for them not to be overloaded.
What are the typical steps in incident response?	The CISSP Security Operations domain lists incident management steps as detection, response, mitigation, reporting, recovery, remediation, and lessons learned.
What are threat feeds and why use them?	Threat feeds provide organizations with a steady stream of raw data. By analyzing threat feeds, security administrators can learn of current threats. They can then use this knowledge to search through the network, looking for signs of these threats. This is known as threat hunting.
What form of IDS is easier for an intruder to discover and deactivate?	Host‐based IDS
What is a group of records from one or more databases or logs that can be used to reconstruct events after an incident?	Audit trail
What is a honeynet, and what is it used for?	Honeynets are fake networks used to lure intruders in order to create sufficient audit trails for tracking them down and prosecuting. Honeynets contain no real or sensitive data.
What is a honeypot or a honeynet?	A honeypot is an individual computer created as a trap for intruders. A honeynet is two or more networked honeypots used together to simulate a network. They look and act like legitimate systems, but they do not host data of any real value for an attacker.
What is a padded cell?	A padded cell system is similar to a honeypot, but it performs intrusion isolation using a different approach. When an IDS detects an intruder, that intruder is automatically transferred to a padded cell.
What is a pseudo‐flaw?	A pseudo‐flaw is a false vulnerability or apparent loophole intentionally implanted in a system in an attempt to tempt attackers. They are often used on honeypot systems to emulate well‐known operating system vulnerabilities.
What is EDR?	Endpoint detection and response (EDR) is a security mechanism that is an evolution of traditional antimalware products, IDS, and firewall solutions. EDR seeks to detect, record, evaluate, and respond to suspicious activities and events.
What is EPP?	Endpoint protection platform (EPP) is a variation of EDR much like IPS is a variation of IDS. The focus on EPP is on four main security functions: predict, prevent, detect, and respond. Thus, EPP is the more active prevent and predict variation of the more passive EDR concept.
